customer_id,signup_date,churn_date,segment,state,age,income_band
1,2023-05-11,,Standard,MA,68,Low
2,2024-01-01,,Gold,FL,66,Medium
3,2023-11-11,,Standard,CA,52,Medium
4,2021-05-02,,Platinum,NY,25,Medium
5,2022-04-12,,Standard,AZ,66,Low
6,2021-11-27,2023-11-28,Standard,FL,37,Medium
7,2021-03-29,,Gold,NC,32,Medium
8,2023-05-22,,Standard,NC,72,Medium
9,2021-05-11,,Gold,TX,32,Medium
10,2023-02-09,,Gold,AZ,55,Low
11,2021-12-10,,Standard,MA,41,Medium
12,2023-03-17,,Gold,NC,41,Medium
13,2022-01-21,2022-12-03,Standard,GA,22,Medium
14,2023-08-14,,Standard,TX,73,Low
15,2021-10-04,,Standard,IL,41,Medium
16,2022-04-05,,Gold,WA,35,High
17,2021-01-22,2023-01-15,Standard,TX,31,High
18,2021-09-10,,Gold,TX,30,Medium
19,2023-01-18,,Standard,NC,38,Medium
20,2023-05-07,2025-02-10,Gold,FL,43,Medium
21,2022-04-20,,Standard,AZ,51,Low
22,2023-12-19,2025-06-11,Gold,IL,74,Medium
23,2022-05-26,,Standard,GA,46,Low
24,2022-12-01,,Standard,FL,73,Low
25,2023-09-03,,Standard,NY,22,High
26,2021-07-09,2022-04-20,Gold,NC,59,High
27,2023-08-16,,Standard,AZ,27,High
28,2022-11-18,2023-09-07,Gold,CA,44,Low
29,2023-08-16,2025-02-13,Standard,GA,59,High
30,2022-07-17,2023-06-28,Gold,FL,52,Low
31,2023-04-12,2024-12-20,Standard,GA,46,Medium
32,2022-10-09,,Standard,AZ,43,Medium
33,2021-01-21,2022-01-17,Standard,NY,34,Medium
34,2023-04-21,,Standard,NY,49,High
35,2021-06-16,,Standard,GA,45,Medium
36,2022-01-23,,Platinum,NY,51,Medium
37,2022-08-24,,Platinum,FL,22,Low
38,2021-11-12,,Gold,GA,22,High
39,2021-01-14,,Standard,FL,43,Medium
40,2021-08-30,2021-12-06,Standard,NY,67,Medium
41,2023-02-16,,Gold,MA,31,Medium
42,2022-07-19,2024-11-15,Standard,WA,49,Medium
43,2023-06-17,2024-04-02,Platinum,CA,62,Medium
44,2021-04-02,2021-08-28,Standard,NC,55,Low
45,2023-08-14,,Platinum,AZ,69,Medium
46,2022-05-24,2023-09-18,Standard,CA,29,High
47,2023-02-15,,Gold,FL,52,High
48,2021-02-04,2023-02-15,Standard,WA,50,Low
49,2021-07-25,,Gold,WA,35,Low
50,2023-10-23,2024-05-18,Standard,MA,34,Medium
51,2023-10-19,2025-07-22,Gold,IL,71,Medium
52,2022-07-20,,Gold,IL,37,Medium
53,2022-12-04,2024-04-05,Standard,FL,42,Medium
54,2022-02-06,,Standard,WA,72,High
55,2022-12-31,,Standard,MA,50,Medium
56,2021-06-11,2022-08-05,Standard,NC,37,Low
57,2021-07-21,,Standard,NC,36,High
58,2023-09-23,2024-09-13,Standard,CA,72,Medium
59,2021-09-27,,Standard,GA,28,Medium
60,2023-03-27,2024-11-25,Gold,AZ,59,Medium
61,2022-04-01,,Gold,MA,51,Medium
62,2023-10-14,2025-12-06,Standard,GA,32,Medium
63,2021-10-23,,Gold,NY,53,Medium
64,2022-12-21,,Gold,NC,32,Medium
65,2021-12-04,,Standard,FL,45,Medium
66,2023-05-29,,Standard,MA,58,Low
67,2023-12-13,,Standard,WA,68,Low
68,2023-03-03,,Gold,TX,38,Medium
69,2021-08-05,2023-02-25,Gold,TX,39,High
70,2023-02-03,2023-09-14,Standard,NC,23,Low
71,2021-07-07,2023-08-28,Gold,MA,55,Low
72,2022-01-15,,Standard,GA,25,Medium
73,2022-05-08,,Standard,GA,55,Medium
74,2023-12-01,,Gold,MA,71,Medium
75,2021-01-15,2022-04-04,Gold,AZ,47,Low
76,2021-03-06,,Standard,NC,57,Low
77,2022-06-05,2024-04-08,Standard,NY,66,Medium
78,2022-10-10,,Platinum,CA,41,Medium
79,2023-12-23,,Standard,MA,36,High
80,2022-08-16,,Gold,AZ,48,Medium
81,2022-01-27,,Standard,TX,45,Medium
82,2022-02-23,,Standard,GA,53,High
83,2021-10-16,2023-05-26,Standard,FL,37,Low
84,2022-01-14,,Standard,NC,63,Medium
85,2021-08-19,2023-08-03,Gold,GA,50,Low
86,2023-10-15,,Standard,NY,61,Medium
87,2021-02-10,,Standard,AZ,73,Low
88,2023-11-18,2024-06-01,Standard,TX,24,Low
89,2021-05-15,2022-05-29,Standard,NY,22,High
90,2021-07-20,,Platinum,CA,29,Medium
91,2023-02-19,,Gold,IL,74,High
92,2023-07-19,,Standard,FL,51,Medium
93,2023-11-23,2025-11-10,Gold,CA,45,Medium
94,2023-12-08,2025-11-28,Gold,NC,57,Low
95,2022-05-18,,Gold,GA,56,Medium
96,2022-02-11,,Standard,WA,25,Medium
97,2023-03-16,2023-11-07,Standard,WA,44,Low
98,2021-04-09,,Standard,TX,44,Medium
99,2022-11-15,2024-01-05,Gold,MA,49,Low
100,2022-12-27,,Gold,GA,70,Medium
101,2023-08-19,,Standard,WA,65,Medium
102,2022-09-05,,Standard,AZ,51,High
103,2022-10-05,,Standard,IL,57,Low
104,2023-10-26,,Standard,TX,39,Medium
105,2022-05-18,2023-10-04,Platinum,FL,43,Medium
106,2023-02-06,2023-12-02,Standard,CA,55,Low
107,2022-02-02,,Standard,CA,74,Medium
108,2023-05-21,,Platinum,WA,70,Low
109,2023-03-06,,Standard,TX,26,Low
110,2022-01-28,,Gold,WA,26,Low
111,2021-07-26,,Standard,CA,57,High
112,2023-11-05,2024-11-24,Standard,NC,50,Low
113,2023-06-11,,Standard,NY,21,Medium
114,2023-05-14,,Gold,GA,28,Low
115,2023-01-13,,Standard,TX,48,Low
116,2022-07-18,,Standard,AZ,45,Low
117,2023-10-18,2025-02-16,Gold,WA,53,Medium
118,2021-04-06,,Standard,WA,73,Low
119,2022-04-30,,Standard,MA,58,Low
120,2021-08-19,,Standard,IL,72,High
121,2023-01-19,2023-07-30,Standard,FL,34,Medium
122,2022-06-25,2024-06-19,Gold,WA,31,Low
123,2023-11-26,2026-03-21,Gold,AZ,22,Medium
124,2022-06-09,2024-01-27,Platinum,FL,73,Low
125,2022-08-01,,Gold,IL,50,Medium
126,2022-11-13,,Standard,MA,50,Medium
127,2022-07-11,,Gold,WA,24,Low
128,2023-10-10,,Standard,FL,33,Low
129,2022-10-08,,Standard,FL,27,Medium
130,2023-03-07,2023-12-30,Standard,NC,58,High
131,2023-11-18,,Standard,FL,23,Low
132,2021-07-09,,Gold,CA,29,Low
133,2022-09-25,2024-02-24,Standard,IL,34,Medium
134,2022-09-20,2024-01-15,Standard,AZ,72,Medium
135,2023-08-31,,Standard,MA,31,Low
136,2022-12-11,,Standard,IL,57,Low
137,2022-10-11,,Standard,NY,34,Low
138,2021-11-14,2022-05-31,Gold,CA,39,Low
139,2022-11-15,,Standard,MA,28,Medium
140,2022-10-26,,Gold,NY,27,Low
141,2022-03-18,2023-05-29,Standard,FL,27,Medium
142,2022-07-18,,Standard,IL,23,High
143,2023-08-10,2023-12-27,Gold,AZ,23,Medium
144,2022-11-30,,Gold,MA,38,Medium
145,2021-04-23,2021-11-03,Standard,GA,65,Medium
146,2021-01-02,2022-05-26,Gold,NY,53,Medium
147,2022-10-04,2024-01-09,Platinum,NC,57,High
148,2021-08-08,2021-12-02,Platinum,CA,48,Medium
149,2023-05-05,,Gold,CA,56,Medium
150,2022-01-20,2024-06-27,Gold,NC,36,Low
151,2023-12-13,,Standard,CA,35,Medium
152,2022-12-31,2025-05-07,Gold,TX,49,Medium
153,2021-09-04,,Standard,TX,38,Low
154,2023-04-16,,Platinum,MA,69,Medium
155,2021-07-22,2022-07-19,Standard,GA,66,Medium
156,2021-05-03,,Standard,AZ,66,Medium
157,2022-02-05,2024-02-13,Standard,FL,39,High
158,2023-02-06,,Standard,TX,49,Low
159,2021-10-21,,Standard,NY,26,Low
