payment_id,customer_id,payment_date,payment_amount,payment_type
1,1736,2023-09-07,764.77,Partial
2,3887,2023-07-25,1392.56,Partial
3,2473,2024-11-26,1639.93,Minimum
4,1030,2024-05-29,1316.48,Full
5,1657,2024-03-19,1805.16,Full
6,4297,2024-08-09,1849.52,Full
7,3385,2022-05-07,1530.62,Full
8,4731,2024-11-12,889.98,Minimum
9,2163,2024-09-09,1529.72,Minimum
10,870,2024-09-14,717.34,Minimum
11,2225,2023-03-01,1114.86,Full
12,2945,2022-09-07,1115.75,Partial
13,4034,2022-03-18,1151.65,Minimum
14,1611,2023-08-12,36.2,Partial
15,2150,2022-11-23,1771.95,Full
16,4795,2023-11-23,597.14,Full
17,3625,2023-01-16,832.04,Full
18,2622,2023-04-06,1863.86,Partial
19,2718,2022-10-15,994.44,Partial
20,2185,2023-12-09,1696.25,Partial
21,212,2023-01-24,711.67,Full
22,4292,2024-07-03,1834.62,Full
23,4775,2024-07-27,250.34,Minimum
24,3583,2022-01-03,969.55,Minimum
25,1416,2022-06-05,1774.91,Partial
26,1909,2022-06-08,1175.64,Minimum
27,3806,2022-12-24,912.16,Minimum
28,292,2024-09-17,1193.08,Partial
29,1882,2023-08-15,1127.06,Minimum
30,2949,2023-04-08,466.53,Full
31,2178,2022-10-31,1548.17,Full
32,338,2022-07-12,747.18,Partial
33,3854,2023-09-18,206.1,Minimum
34,332,2023-11-24,514.91,Minimum
35,3875,2023-07-04,1664.69,Partial
36,4219,2022-01-18,1966.8,Partial
37,3391,2024-07-18,1845.38,Full
38,1441,2022-11-13,833.87,Minimum
39,2900,2022-10-01,144.53,Minimum
40,906,2022-07-09,710.68,Partial
41,1392,2022-11-21,1391.02,Minimum
42,1964,2023-08-23,1970.52,Full
43,4341,2022-04-21,1393.93,Partial
44,3386,2023-11-21,423.97,Partial
45,4005,2023-12-20,453.79,Full
46,4778,2023-05-28,1516.69,Full
47,1261,2024-06-17,1251.41,Full
48,3476,2023-09-15,253.36,Minimum
49,3079,2024-03-16,606.64,Partial
50,1647,2023-10-24,1787.94,Full
51,2392,2023-09-18,874.72,Full
52,2060,2024-10-13,324.93,Minimum
53,4748,2023-01-07,1467.32,Minimum
54,2151,2024-09-12,232.27,Partial
55,3595,2023-07-20,1174.63,Partial
56,2871,2024-06-30,474.32,Minimum
57,3332,2022-03-26,1376.02,Minimum
58,4055,2022-07-01,166.01,Minimum
59,4585,2024-05-30,627.51,Full
60,636,2022-12-24,1253.69,Partial
61,3305,2022-12-14,1064.93,Full
62,3318,2023-09-10,1727.17,Full
63,878,2024-03-13,119.47,Full
64,485,2022-08-09,626.15,Minimum
65,1972,2023-03-13,70.74,Minimum
66,3631,2024-06-02,1983.03,Partial
67,4283,2023-09-10,879.93,Partial
68,4130,2023-05-02,1554.18,Partial
69,4811,2023-02-01,89.22,Full
70,3757,2022-03-05,954.16,Minimum
71,4510,2022-12-31,1979.89,Full
72,2682,2024-06-11,1158.86,Full
73,219,2022-10-23,1639.88,Partial
74,4458,2023-10-27,1678.32,Full
75,4440,2024-04-14,738.02,Partial
76,4814,2023-02-02,876.57,Minimum
77,2908,2022-10-19,1447.14,Minimum
78,1974,2023-09-04,1037.62,Full
79,555,2022-08-06,247.44,Minimum
80,2699,2024-08-24,746.16,Minimum
81,4184,2023-08-11,817.07,Full
82,4664,2022-09-03,769.55,Minimum
83,3551,2022-09-13,579.48,Partial
84,1175,2024-08-10,1109.29,Minimum
85,2259,2024-06-11,626.41,Partial
86,3527,2022-12-18,1224.09,Partial
87,2263,2023-05-08,1140.53,Full
88,3618,2024-04-08,22.83,Minimum
89,1276,2024-05-21,1273.36,Partial
90,4239,2024-02-01,1253.34,Partial
91,3130,2022-11-17,705.69,Partial
92,2854,2024-08-19,797.54,Minimum
93,2417,2023-03-21,1594.98,Full
94,2611,2024-10-21,1529.5,Minimum
95,4593,2023-06-15,1937.24,Minimum
96,2555,2022-09-15,837.16,Partial
97,4497,2023-08-14,406.25,Full
98,4304,2024-12-08,878.15,Partial
99,2404,2022-10-29,1679.49,Full
100,3038,2024-03-03,1544.48,Partial
101,4869,2023-12-19,436.54,Full
102,3427,2024-05-18,702.68,Full
103,4078,2022-10-19,1978.86,Minimum
104,2142,2024-04-28,659.44,Partial
105,2195,2022-12-25,253.14,Full
106,2066,2023-07-25,950.64,Full
107,1451,2024-08-06,170.43,Full
108,1353,2023-11-03,116.78,Partial
109,3359,2022-03-13,1044.07,Full
110,465,2024-08-05,542.93,Full
111,567,2024-10-12,1866.77,Minimum
112,4098,2023-05-21,1053.31,Partial
113,3128,2024-11-12,1250.49,Full
114,3455,2024-06-18,1039.41,Minimum
115,31,2024-04-03,27.25,Full
116,4391,2022-03-24,1956.34,Minimum
117,359,2022-02-12,1244.8,Minimum
118,4391,2022-11-17,1837.56,Partial
119,2528,2023-04-10,1574.87,Partial
120,382,2022-09-21,1797.27,Full
121,1211,2024-08-06,1681.32,Minimum
122,4593,2023-06-14,269.63,Minimum
123,4393,2023-08-27,917.42,Full
124,4287,2023-11-20,256.19,Minimum
125,1603,2022-12-02,1978.67,Minimum
126,2954,2024-02-05,1257.44,Partial
127,3090,2022-10-12,1275.58,Full
128,4195,2022-03-10,1974.74,Partial
129,654,2024-06-29,1375.96,Partial
130,3576,2024-10-20,1118.24,Full
131,356,2024-10-22,1411.98,Minimum
132,362,2024-03-14,1916.84,Partial
133,4438,2023-07-20,351.87,Full
134,2285,2024-01-12,1355.2,Partial
135,29,2023-06-16,41.17,Minimum
136,757,2022-04-18,1559.11,Minimum
137,4591,2022-05-24,1707.71,Partial
138,4455,2023-09-27,833.41,Full
139,1572,2023-12-29,828.86,Partial
140,747,2024-11-03,349.85,Minimum
141,1475,2023-09-14,114.93,Full
142,2401,2024-07-10,125.8,Partial
143,3030,2024-09-11,1645.65,Partial
144,413,2022-06-19,802.93,Partial
145,3719,2022-12-07,1601.25,Minimum
146,1249,2022-11-10,699.05,Full
147,4358,2023-06-04,233.64,Minimum
148,2141,2023-12-20,1825.91,Full
149,4724,2024-05-28,513.34,Full
150,721,2023-05-04,171.32,Partial
151,1575,2023-01-09,414.99,Full
152,1872,2023-08-30,1759.99,Partial
