transaction_id,customer_id,transaction_date,amount,category,merchant,state
1,4495,2024-12-07,527.46,Online,Amazon,NY
2,2148,2023-08-12,544.31,Online,Delta,FL
3,3573,2024-10-19,512.96,Gas,Uber,FL
4,4479,2024-02-15,435.2,Travel,Shell,WA
5,2755,2023-09-24,792.95,Gas,Shell,GA
6,3264,2022-09-19,715.9,Dining,Delta,NC
7,3826,2024-04-21,570.17,Groceries,Target,TX
8,3417,2024-12-11,544.14,Groceries,Uber,FL
9,2058,2023-05-04,71.99,Gas,Uber,MA
10,2312,2022-09-08,390.72,Dining,Shell,NY
11,2880,2022-11-10,399.33,Travel,Target,NY
12,3643,2024-12-15,46.29,Retail,Amazon,GA
13,2610,2024-01-23,605.7,Travel,Amazon,FL
14,1431,2024-10-03,6.56,Groceries,Uber,IL
15,1914,2022-06-13,343.04,Groceries,Delta,NC
16,758,2024-09-01,723.08,Online,Walmart,IL
17,2135,2022-05-13,275.59,Gas,Shell,WA
18,1913,2022-03-22,468.2,Groceries,Delta,FL
19,1740,2022-12-16,249.82,Dining,Uber,MA
20,3218,2022-05-14,147.29,Travel,Shell,MA
21,4757,2024-09-01,585.37,Retail,Amazon,FL
22,1135,2024-12-11,167.63,Retail,Delta,NY
23,3713,2023-05-09,62.39,Travel,Amazon,GA
24,765,2022-07-21,350.93,Retail,Amazon,MA
25,2726,2023-12-11,568.56,Retail,Shell,IL
26,3369,2023-09-10,466.11,Dining,Amazon,MA
27,3498,2024-01-26,199.3,Travel,Delta,WA
28,1673,2024-08-30,655.11,Gas,Delta,NC
29,3406,2024-11-03,82.19,Retail,Delta,CA
30,583,2022-06-14,537.9,Dining,Uber,WA
31,4767,2023-07-15,487.31,Online,Uber,IL
32,4634,2023-08-05,719.64,Retail,Walmart,GA
33,1822,2022-04-29,423.91,Retail,Shell,MA
34,1186,2023-11-24,656.09,Travel,Target,GA
35,4526,2022-12-01,176.16,Gas,Uber,NY
36,1638,2023-09-29,438.53,Groceries,Target,TX
37,2181,2022-08-19,428.44,Retail,Shell,WA
38,189,2022-11-07,239.79,Dining,Shell,WA
39,1747,2022-01-03,9.04,Groceries,Amazon,WA
40,3827,2023-11-16,596.68,Online,Shell,NY
41,2621,2022-03-22,320.36,Groceries,Walmart,TX
42,3946,2023-01-23,243.57,Travel,Shell,GA
43,2327,2024-04-06,159.3,Travel,Uber,NY
44,1185,2022-08-07,682.12,Travel,Amazon,FL
45,2794,2023-10-14,270.43,Travel,Target,FL
46,2947,2022-03-04,167.14,Dining,Target,NC
47,2501,2023-03-16,421.15,Gas,Delta,MA
48,4947,2024-11-16,626.57,Travel,Uber,CA
49,170,2023-12-09,483.96,Online,Target,NY
50,4926,2022-07-29,768.35,Online,Uber,AZ
51,2746,2024-11-11,765.63,Retail,Amazon,WA
52,1081,2024-11-08,722.39,Travel,Walmart,MA
53,1264,2023-05-24,454.3,Gas,Uber,MA
54,4865,2023-11-05,615.78,Online,Walmart,NC
55,4454,2023-10-13,234.36,Dining,Walmart,MA
56,2249,2024-06-06,462.41,Retail,Amazon,AZ
57,3909,2022-02-06,57.86,Gas,Uber,MA
58,1326,2023-02-11,214.43,Retail,Walmart,MA
59,3178,2023-02-28,263.65,Gas,Amazon,TX
60,3874,2023-11-14,292.19,Gas,Amazon,GA
61,2149,2022-12-04,133.01,Online,Target,CA
62,1689,2024-07-07,71.19,Dining,Amazon,NC
63,2986,2024-02-06,464.8,Travel,Amazon,TX
64,2077,2023-10-14,395.6,Retail,Delta,AZ
65,1530,2024-08-05,469.7,Online,Amazon,FL
66,1462,2024-12-17,107.8,Gas,Uber,FL
67,1403,2023-01-11,758.41,Gas,Walmart,AZ
68,73,2023-02-11,333.62,Gas,Walmart,GA
69,4350,2022-02-25,362.33,Gas,Uber,WA
70,4035,2023-04-20,439.84,Online,Walmart,GA
71,4612,2022-01-17,553.65,Groceries,Delta,TX
72,2797,2023-03-09,310.96,Groceries,Target,CA
73,4517,2022-08-25,118.8,Online,Shell,MA
74,2494,2022-11-03,627.58,Groceries,Walmart,IL
75,4975,2023-03-09,212.14,Retail,Walmart,FL
76,4232,2022-01-24,357.08,Online,Target,GA
77,3577,2024-10-10,507.7,Online,Target,WA
78,33,2023-11-12,772.47,Online,Shell,IL
79,2695,2024-08-09,31.7,Gas,Amazon,WA
80,4374,2023-02-19,417.5,Travel,Uber,IL
81,4846,2024-01-23,749.22,Retail,Target,TX
82,3599,2023-02-20,207.84,Retail,Delta,NY
83,2393,2024-05-25,94.28,Retail,Target,WA
84,4113,2024-03-20,479.49,Groceries,Amazon,FL
85,2872,2024-06-08,125.99,Online,Target,FL
86,2678,2023-11-08,703.7,Dining,Amazon,FL
87,1402,2023-02-04,579.92,Gas,Shell,FL
88,818,2024-05-02,101.21,Dining,Amazon,NC
89,1661,2022-05-21,464.07,Retail,Shell,MA
90,4563,2023-01-13,26.56,Groceries,Amazon,TX
91,4724,2023-03-26,676.91,Groceries,Uber,NY
92,2439,2024-06-06,168.32,Dining,Walmart,TX
93,2984,2024-04-29,586.79,Online,Amazon,GA
94,1211,2022-04-02,89.53,Dining,Uber,TX
95,600,2023-04-30,380.58,Online,Target,WA
96,1847,2023-02-25,743.74,Gas,Walmart,GA
97,1856,2023-12-17,64.21,Online,Amazon,NY
98,1888,2023-07-06,239.82,Dining,Amazon,NC
99,680,2024-06-22,627.19,Travel,Amazon,NC
100,3253,2024-12-13,373.37,Gas,Walmart,NY
101,1836,2023-08-24,521.99,Gas,Amazon,AZ
102,4031,2022-07-04,650.55,Dining,Target,CA
103,2178,2024-08-22,628.32,Retail,Walmart,IL
104,149,2024-05-01,319.32,Travel,Shell,AZ
105,1496,2022-07-10,347.35,Travel,Delta,NC
106,4914,2022-07-18,459.04,Retail,Uber,GA
107,1745,2022-12-10,102.59,Groceries,Shell,TX
108,1647,2022-06-23,696.27,Travel,Target,WA
109,2996,2022-08-05,79.32,Groceries,Target,TX
110,1673,2022-06-23,151.93,Online,Amazon,GA
111,1940,2022-03-19,756.12,Online,Uber,FL
112,658,2023-07-30,229.06,Retail,Delta,CA
113,3668,2024-04-20,199.15,Retail,Uber,CA
114,1054,2023-03-13,343.15,Online,Delta,WA
115,4072,2022-07-18,580.81,Groceries,Target,NY
116,577,2023-08-25,296.15,Travel,Target,TX
117,3096,2024-10-27,700.41,Dining,Shell,CA
118,3032,2024-09-30,123.74,Retail,Shell,FL
119,4819,2023-09-26,98.76,Gas,Uber,GA
120,4780,2023-09-20,66.53,Travel,Walmart,TX
121,4838,2023-06-09,242.19,Groceries,Amazon,IL
122,2973,2024-08-20,163.65,Dining,Uber,CA
123,3949,2024-11-09,371.76,Groceries,Shell,GA
124,2046,2022-09-11,796.58,Groceries,Walmart,NY
125,3937,2023-08-21,695.49,Gas,Uber,CA
126,2949,2023-07-27,716.5,Dining,Uber,AZ
127,1628,2024-06-11,665.44,Online,Walmart,NC
128,1489,2022-08-03,221.01,Travel,Delta,AZ
129,4146,2024-06-02,184.93,Retail,Amazon,TX
130,4199,2023-08-25,587.03,Online,Delta,IL
131,4464,2023-07-22,481.18,Groceries,Shell,CA
132,936,2023-08-29,168.87,Gas,Walmart,MA
133,3564,2023-07-06,774.03,Dining,Walmart,FL
134,3630,2022-12-03,342.25,Gas,Delta,AZ
135,1715,2022-11-15,652.47,Retail,Walmart,WA
136,1803,2023-04-11,63.68,Gas,Amazon,TX
137,1421,2023-12-30,32.96,Dining,Uber,FL
138,3592,2024-06-18,367.37,Dining,Amazon,WA
139,3521,2022-12-17,99.92,Retail,Shell,NY
140,3312,2024-12-21,783.51,Dining,Walmart,MA
141,2306,2024-08-07,650.56,Gas,Walmart,MA
142,1996,2022-07-09,365.99,Groceries,Walmart,MA
143,1968,2024-12-19,783.71,Retail,Target,GA
144,3715,2023-11-18,194.43,Gas,Walmart,CA
145,4036,2022-03-14,544.79,Groceries,Target,FL
146,4486,2023-02-20,18.94,Travel,Uber,TX
147,4869,2022-06-28,300.95,Groceries,Shell,FL
148,3459,2024-12-26,68.06,Travel,Target,AZ
149,394,2022-03-18,297.06,Online,Walmart,TX
150,4779,2022-09-05,307.58,Travel,Walmart,IL
151,3731,2023-12-08,303.26,Gas,Amazon,WA
152,4366,2024-09-14,334.47,Online,Delta,IL
153,4245,2022-03-09,495.4,Gas,Amazon,IL
154,4907,2024-04-29,155.59,Gas,Amazon,NY
155,28,2023-08-11,191.35,Travel,Delta,NY
156,3492,2024-04-22,518.12,Dining,Walmart,GA
157,4262,2024-02-20,375.66,Gas,Shell,NC
158,1174,2024-05-31,133.73,Online,Walmart,CA
159,339,2023-12-23,630.86,Gas,Amazon,AZ
160,1069,2022-11-20,745.05,Dining,Amazon,FL
161,842,2024-11-22,374.94,Dining,Uber,FL
162,4285,2023-10-17,493.15,Retail,Walmart,NY
163,4747,2022-05-25,653.2,Gas,Walmart,WA
164,294,2024-02-13,771.18,Dining,Amazon,TX
165,1858,2022-11-06,775.47,Retail,Walmart,NY
166,1323,2022-05-24,738.66,Travel,Uber,AZ
167,1648,2024-07-30,653.73,Groceries,Amazon,WA
168,4899,2023-10-26,343.49,Dining,Uber,IL
169,3621,2024-06-11,537.37,Gas,Uber,CA
170,4527,2023-06-01,611.92,Dining,Uber,GA
171,3095,2022-07-14,78.06,Gas,Target,CA
172,3492,2024-03-28,97.51,Online,Target,CA
173,3496,2023-12-30,565.79,Gas,Uber,NY
174,4583,2023-04-21,535.2,Online,Delta,NC
175,3802,2023-03-10,644.07,Retail,Walmart,AZ
176,89,2023-02-21,151.74,Groceries,Delta,IL
177,4367,2023-12-12,749.66,Travel,Amazon,TX
178,1957,2022-05-18,194.49,Groceries,Walmart,WA
179,900,2024-03-19,112.4,Gas,Delta,AZ
180,3478,2022-05-14,262.85,Groceries,Delta,TX
181,1745,2024-02-23,647.81,Online,Amazon,GA
182,4374,2024-03-02,27.45,Groceries,Uber,CA
183,2254,2024-01-04,185.33,Travel,Amazon,AZ
184,3662,2023-01-12,764.7,Dining,Uber,TX
185,2961,2023-01-30,18.52,Online,Walmart,IL
186,1634,2023-04-15,226.21,Retail,Amazon,CA
187,862,2024-02-10,263.99,Groceries,Walmart,IL
188,4702,2022-01-19,739.51,Groceries,Target,WA
189,1014,2024-03-18,681.71,Groceries,Target,TX
190,3300,2022-09-04,370.77,Online,Delta,MA
191,1507,2024-12-26,257.46,Groceries,Shell,MA
192,3206,2022-12-08,755.82,Dining,Target,NC
193,4804,2022-12-11,154.7,Retail,Shell,FL
194,978,2024-07-12,384.07,Gas,Target,AZ
195,3462,2023-01-22,337.66,Groceries,Amazon,TX
196,1818,2022-12-08,748.49,Dining,Delta,AZ
197,3685,2022-04-18,605.87,Online,Amazon,MA
198,4059,2023-11-08,373.38,Gas,Amazon,GA
199,2635,2023-09-25,487.61,Retail,Amazon,CA
200,4902,2024-09-24,726.48,Online,Target,MA
201,4816,2023-08-19,665.83,Gas,Delta,TX
202,3667,2023-08-08,494.29,Dining,Uber,NY
203,949,2023-04-22,732.68,Dining,Amazon,MA
204,474,2022-12-03,307.33,Gas,Delta,AZ
205,568,2022-11-09,587.88,Dining,Shell,WA
206,3433,2023-09-01,17.81,Retail,Delta,TX
207,4024,2024-02-29,468.46,Travel,Target,NY
208,2259,2023-08-17,113.9,Gas,Target,NY
209,3145,2022-10-27,421.82,Groceries,Uber,FL
210,4311,2023-11-23,200.98,Retail,Walmart,TX
211,4996,2023-12-29,307.64,Groceries,Delta,GA
212,1983,2022-08-24,634.77,Groceries,Uber,TX
213,1097,2024-08-22,51.59,Groceries,Uber,AZ
214,3571,2024-06-15,432.23,Groceries,Amazon,MA
215,3391,2022-07-30,120.17,Retail,Shell,NY
216,2673,2022-10-13,460.73,Travel,Walmart,MA
217,3647,2023-02-27,508.71,Groceries,Walmart,MA
218,2420,2023-05-09,149.76,Dining,Delta,FL
219,4280,2024-10-14,9.74,Online,Walmart,FL
220,3349,2024-04-16,72.94,Dining,Shell,MA
221,674,2024-02-06,553.24,Dining,Amazon,FL
222,2803,2022-12-11,307.18,Travel,Uber,AZ
223,2370,2023-06-07,301.45,Travel,Delta,MA
224,4531,2024-03-29,555.05,Dining,Uber,NC
225,1067,2022-11-15,400.22,Dining,Uber,FL
226,688,2024-10-13,511.48,Groceries,Delta,IL
227,4984,2023-11-26,735.87,Retail,Shell,NC
228,69,2023-08-13,407.96,Online,Amazon,MA
229,2104,2023-09-27,512.24,Retail,Amazon,CA
230,420,2022-07-27,513.57,Travel,Shell,FL
231,3999,2022-07-05,430.09,Online,Walmart,TX
232,2598,2024-09-03,533.22,Online,Shell,NY
233,4339,2022-01-17,668.3,Retail,Delta,CA
234,2125,2022-09-11,647.23,Travel,Shell,FL
235,3893,2024-08-28,50.53,Online,Delta,AZ
236,440,2023-09-03,761.67,Groceries,Uber,NY
